price,date,time
2614.5253995875505,2022-01-30,09:24:45
2606.8681287757604,2022-01-30,09:29:17
2610.453388339644,2022-01-30,09:34:24
2614.539830632748,2022-01-30,09:39:32
2615.413008876725,2022-01-30,09:44:50
2614.3013408274956,2022-01-30,09:50:41
2613.384921949501,2022-01-30,09:54:37
2615.680669164885,2022-01-30,09:59:57
2613.4299391603154,2022-01-30,10:04:56
2614.280358614581,2022-01-30,10:09:18
2613.31888920112,2022-01-30,10:14:33
2614.0710245880914,2022-01-30,10:19:52
2616.589530045581,2022-01-30,10:22:53
2616.8895734598523,2022-01-30,10:29:21
2616.679635208457,2022-01-30,10:33:51
2623.271936564731,2022-01-30,10:40:07
2626.2978290758683,2022-01-30,10:44:46
2624.776378719352,2022-01-30,10:48:19
2626.4386842071112,2022-01-30,10:52:54
2626.449541398668,2022-01-30,10:57:48
2628.755118013147,2022-01-30,11:02:52
2627.502854892116,2022-01-30,11:09:49
2627.0010282417284,2022-01-30,11:14:14
2625.7675788853494,2022-01-30,11:19:02
2628.7126016099332,2022-01-30,11:23:16
2627.077776452486,2022-01-30,11:29:34
2622.9215290652055,2022-01-30,11:34:42
2621.424717490883,2022-01-30,11:38:46
2618.7089974923265,2022-01-30,11:43:24
2617.7227812594574,2022-01-30,11:50:15
2621.991714397431,2022-01-30,11:54:41
2629.2787116623276,2022-01-30,12:00:45
2629.363812509467,2022-01-30,12:05:22
2627.8557468875974,2022-01-30,12:10:04
2622.660724837589,2022-01-30,12:15:01
2622.3953441175418,2022-01-30,12:19:02
2622.7420772677765,2022-01-30,12:23:41
2625.3554835801033,2022-01-30,12:29:45
2629.415735218429,2022-01-30,12:34:21
2635.1920496564258,2022-01-30,12:38:33
2635.1225999430026,2022-01-30,12:43:13
2625.476177597908,2022-01-30,12:49:36
2623.1739413537043,2022-01-30,12:54:22
2620.1632526398766,2022-01-30,12:58:44
2620.7603418216445,2022-01-30,13:03:13
2619.6402521892646,2022-01-30,13:07:50
2615.785573147631,2022-01-30,13:14:34
2616.660374979038,2022-01-30,13:18:52
2620.1502048968837,2022-01-30,13:24:52
2620.922547370396,2022-01-30,13:29:23
2624.559439446846,2022-01-30,13:33:44
2621.0978604986713,2022-01-30,13:39:26
2618.7935109910372,2022-01-30,13:43:59
2618.7156507796453,2022-01-30,13:49:46
2618.4856149707866,2022-01-30,13:53:58
2617.5871640657138,2022-01-30,13:58:06
2617.1694027272165,2022-01-30,14:02:19
2618.2730331286753,2022-01-30,14:09:39
2617.1583000092864,2022-01-30,14:13:36
2608.094922262976,2022-01-30,14:20:28
2604.8697002838903,2022-01-30,14:23:16
2595.375301891326,2022-01-30,14:29:47
2597.2566817610477,2022-01-30,14:34:18
2598.4188710546755,2022-01-30,14:38:44
2603.5361304814446,2022-01-30,14:43:44
2603.5459180447347,2022-01-30,14:49:43
2601.440540217796,2022-01-30,14:54:13
2603.7681713101283,2022-01-30,14:58:19
2606.910709723465,2022-01-30,15:03:19
2612.7864644250144,2022-01-30,15:08:18
2612.283911479676,2022-01-30,15:12:55
2609.208520270116,2022-01-30,15:19:24
2606.592175491143,2022-01-30,15:23:52
2617.1900023983508,2022-01-30,15:28:32
2617.058621549973,2022-01-30,15:33:17
2614.128354558984,2022-01-30,15:39:56
2621.6110618472553,2022-01-30,15:44:13
2622.575694271357,2022-01-30,15:50:29
2622.296771426623,2022-01-30,15:54:42
2621.243675356951,2022-01-30,15:58:26
2621.6446657679307,2022-01-30,16:03:20
2619.3520777107115,2022-01-30,16:08:07
2623.222158209107,2022-01-30,16:12:59
2621.257577556978,2022-01-30,16:19:26
2618.8452273498783,2022-01-30,16:24:17
2616.5980745722304,2022-01-30,16:30:04
2617.206550923798,2022-01-30,16:34:57
2611.006066059961,2022-01-30,16:39:36
2607.8733495056426,2022-01-30,16:43:56
2603.2522413068323,2022-01-30,16:50:01
2602.9007200960064,2022-01-30,16:54:27
2603.880904280691,2022-01-30,16:59:07
2601.631825364706,2022-01-30,17:03:54
2599.620701231056,2022-01-30,17:08:41
2601.430512843448,2022-01-30,17:13:25
2601.571506195822,2022-01-30,17:19:48
2604.685559345202,2022-01-30,17:24:25
2609.4722169520064,2022-01-30,17:29:09
2611.254731338925,2022-01-30,17:33:55
2609.9976863979578,2022-01-30,17:38:44
2611.483815546231,2022-01-30,17:43:50
2615.200742938015,2022-01-30,17:50:00
2619.9037876883226,2022-01-30,17:54:51
2621.460691412388,2022-01-30,17:59:53
2622.975071794928,2022-01-30,18:04:17
2623.282561520805,2022-01-30,18:08:25
2624.560465159466,2022-01-30,18:14:50
2625.2206080322217,2022-01-30,18:19:16
2619.403012864489,2022-01-30,18:23:34
2619.2717630293646,2022-01-30,18:29:13
2618.03494638674,2022-01-30,18:33:44
2611.978116327206,2022-01-30,18:39:39
2610.1679908179817,2022-01-30,18:44:01
2609.2396959382913,2022-01-30,18:48:54
2608.6675124623757,2022-01-30,18:53:38
2605.273457218299,2022-01-30,18:58:10
2604.0147612615096,2022-01-30,19:03:17
2591.167272416869,2022-01-30,19:10:26
2586.9682345471924,2022-01-30,19:14:44
2583.556240266285,2022-01-30,19:19:13
2584.6892960774744,2022-01-30,19:23:44
2579.99501577847,2022-01-30,19:30:06
2576.7978197196676,2022-01-30,19:34:48
2571.2451435904172,2022-01-30,19:38:33
2571.908379105274,2022-01-30,19:43:07
2573.405604388859,2022-01-30,19:48:03
2567.7537088930267,2022-01-30,19:54:41
2566.6838539648556,2022-01-30,19:58:42
2567.9632227847665,2022-01-30,20:03:40
2557.676617463611,2022-01-30,20:08:09
2559.7580451453864,2022-01-30,20:12:44
2573.8841493918076,2022-01-30,20:19:59
2575.5971341343293,2022-01-30,20:24:47
2579.7815484916027,2022-01-30,20:29:22
2576.1108086168497,2022-01-30,20:34:13
2580.153566247241,2022-01-30,20:38:43
2580.9304395796894,2022-01-30,20:43:21
2574.7674073056987,2022-01-30,20:49:37
2577.6011305799484,2022-01-30,20:54:12
2579.9036913464042,2022-01-30,20:59:58
2580.1668956935,2022-01-30,21:04:24
2578.317819381072,2022-01-30,21:10:25
2575.530685808073,2022-01-30,21:14:58
2573.437205777436,2022-01-30,21:19:44
2562.4002861594295,2022-01-30,21:24:16
2559.1466009356523,2022-01-30,21:30:13
2560.036465604639,2022-01-30,21:34:58
2559.7030977469635,2022-01-30,21:39:07
2571.8471789760692,2022-01-30,21:43:45
2574.523671056964,2022-01-30,21:49:50
2573.5413316950167,2022-01-30,21:53:45
2566.4494235953503,2022-01-30,21:59:19
2567.3368666760516,2022-01-30,22:04:09
2569.601973017742,2022-01-30,22:08:25
2563.59424630321,2022-01-30,22:14:56
2560.7997522871387,2022-01-30,22:19:17
2561.1593961636468,2022-01-30,22:23:55
2563.356109458012,2022-01-30,22:28:06
2567.6464362500024,2022-01-30,22:34:58
2568.3026378122886,2022-01-30,22:39:28
2569.4767182482333,2022-01-30,22:43:35
2570.244043249241,2022-01-30,22:49:36
2575.5970529130354,2022-01-30,22:54:16
2581.1274959610796,2022-01-30,22:58:37
2581.5301114611298,2022-01-30,23:03:19
2597.091678919069,2022-01-30,23:09:21
2610.4039856399004,2022-01-30,23:13:19
2617.9759607699098,2022-01-30,23:19:20
2624.060119130592,2022-01-30,23:23:41
2618.414313531586,2022-01-30,23:29:25
2621.9017627913877,2022-01-30,23:34:11
2618.575448255301,2022-01-30,23:40:16
2613.0094246552594,2022-01-30,23:45:00
2612.022737486458,2022-01-30,23:49:27
2607.9870974892015,2022-01-30,23:53:26
2610.1824055910874,2022-01-30,23:59:15
